recording_id,compression_type,source_dataset,label,attack_type
fake_common_voice_he_39261436,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39666780,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40039809,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39626005,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39940028,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39918069,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39280186,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41019416,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39869337,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38610891,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43453185,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179982,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38078786,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39333370,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39180102,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38154244,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179834,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38130931,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38614003,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39772247,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131033,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39327138,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39545490,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39972313,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179997,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39609347,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39903460,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_41616807,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_43498356,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39502080,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39960273,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38094115,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39514190,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39379443,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39179821,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_40001950,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_38131026,mp3,custom_elevenlabs,spoof,elevenlabs
fake_common_voice_he_39597266,mp3,custom_elevenlabs,spoof,elevenlabs
