recording_id,attack_type,true_label,aasist,rawnet3,wav2vec2,wavlm,num_models_failed,num_models_correct,failed_models,correct_models
fake_common_voice_he_41616916,elevenlabs_fake,1,True,True,False,True,3,1,"aasist, rawnet3, wavlm",wav2vec2
DF_E_2676965,neural_vocoder_autoregressive,1,False,True,True,True,3,1,"rawnet3, wav2vec2, wavlm",aasist
DF_E_2742866,neural_vocoder_autoregressive,1,False,True,True,True,3,1,"rawnet3, wav2vec2, wavlm",aasist
common_voice_he_39541220,real,0,True,False,True,True,3,1,"aasist, wav2vec2, wavlm",rawnet3
DF_E_2169262,traditional_vocoder,1,False,True,True,True,3,1,"rawnet3, wav2vec2, wavlm",aasist
DF_E_2527373,traditional_vocoder,1,False,True,True,True,3,1,"rawnet3, wav2vec2, wavlm",aasist
fake_common_voice_he_38085637,elevenlabs_fake,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2048165,neural_vocoder_autoregressive,1,False,False,True,True,2,2,"wav2vec2, wavlm","aasist, rawnet3"
DF_E_2050796,neural_vocoder_autoregressive,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2082546,neural_vocoder_autoregressive,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2232060,neural_vocoder_autoregressive,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2289863,neural_vocoder_autoregressive,1,False,False,True,True,2,2,"wav2vec2, wavlm","aasist, rawnet3"
DF_E_2430961,neural_vocoder_autoregressive,1,False,True,True,False,2,2,"rawnet3, wav2vec2","aasist, wavlm"
DF_E_2555060,neural_vocoder_autoregressive,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2688103,neural_vocoder_autoregressive,1,False,True,False,True,2,2,"rawnet3, wavlm","aasist, wav2vec2"
DF_E_2692875,neural_vocoder_autoregressive,1,False,True,False,True,2,2,"rawnet3, wavlm","aasist, wav2vec2"
DF_E_2065571,neural_vocoder_nonautoregressive,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2020747,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2029484,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2041021,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2043457,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2049338,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2076000,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2085402,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2090771,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2091560,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2105877,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2129509,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2154269,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2168975,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2176998,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2179277,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2185991,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2212136,real,0,True,False,False,True,2,2,"aasist, wavlm","rawnet3, wav2vec2"
DF_E_2215895,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2235172,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2245870,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2271229,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2289632,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2295117,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2320434,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2339233,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2346639,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2352424,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2362734,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2376408,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2390139,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2402037,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2447382,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2467253,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2469987,real,0,True,False,True,False,2,2,"aasist, wav2vec2","rawnet3, wavlm"
DF_E_2484328,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2542237,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2577316,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2601458,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2601754,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2613450,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2619569,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2622411,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2624923,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2626525,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2639331,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2646776,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2650733,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2687742,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2715609,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2729978,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38130952,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38131003,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38131033,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38142072,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38142100,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38154333,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38169221,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_38371319,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_39327036,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_39327041,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_39658885,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_41486369,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
common_voice_he_43498355,real,0,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2151280,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2248216,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2326146,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2398997,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2411727,traditional_vocoder,1,False,True,False,True,2,2,"rawnet3, wavlm","aasist, wav2vec2"
DF_E_2553749,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2588588,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2624258,traditional_vocoder,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2014230,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2024869,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2040681,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2055521,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2099485,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2110929,waveform_concatenation,1,False,True,False,True,2,2,"rawnet3, wavlm","aasist, wav2vec2"
DF_E_2191881,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2196761,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2227325,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2344618,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2375796,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2376141,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2651912,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
DF_E_2674361,waveform_concatenation,1,True,True,False,False,2,2,"aasist, rawnet3","wav2vec2, wavlm"
